2017-03-02	13:52
Amplitude: 2,00 V
Freq  (Hz) 	 Gain (dB)  	 Phase (deg)
 10,058            -40,474             89,967
 15,832            -36,524             89,587
 25,146            -32,493             88,690
 39,861            -28,457             87,855
 63,144            -24,486             86,437
100,024            -20,521             84,555
158,511            -16,580             81,392
251,271            -12,739             76,413
398,047             -9,090             69,064
630,878             -5,784             59,295
1000,054             -3,254             46,505
1584,925             -1,595             33,562
2511,963             -0,725             22,668
3981,031             -0,314             14,902
6309,524             -0,135              9,553
9999,983             -0,067              6,062
15848,875             -0,039              3,787
25118,887             -0,023              2,366
39810,687             -0,012              1,478
63095,801             -0,008              1,068
100000,016             -0,018              0,810
