waveform	[0]		[1]	
t0	2017-03-02  13:56:00,890762		2017-03-02  13:56:00,890762	
delta t	8,000000E-6		8,000000E-6	

time[0]	Y[0]	time[1]	Y[1]
2017-03-02  13:56:00,890762	-4,661092E-1	2017-03-02  13:56:00,890762	-2,362080E-1
2017-03-02  13:56:00,890770	-4,661092E-1	2017-03-02  13:56:00,890770	-2,362080E-1
2017-03-02  13:56:00,890778	-4,661092E-1	2017-03-02  13:56:00,890778	-1,942478E-1
2017-03-02  13:56:00,890786	-4,661092E-1	2017-03-02  13:56:00,890786	-1,942478E-1
2017-03-02  13:56:00,890794	-4,661092E-1	2017-03-02  13:56:00,890794	-1,942478E-1
2017-03-02  13:56:00,890802	-4,661092E-1	2017-03-02  13:56:00,890802	-1,942478E-1
2017-03-02  13:56:00,890810	-5,086557E-1	2017-03-02  13:56:00,890810	-1,942478E-1
2017-03-02  13:56:00,890818	-4,661092E-1	2017-03-02  13:56:00,890818	-1,942478E-1
2017-03-02  13:56:00,890826	-4,661092E-1	2017-03-02  13:56:00,890826	-1,942478E-1
2017-03-02  13:56:00,890834	-4,661092E-1	2017-03-02  13:56:00,890834	-1,103274E-1
2017-03-02  13:56:00,890842	-4,661092E-1	2017-03-02  13:56:00,890842	-1,522876E-1
2017-03-02  13:56:00,890850	-4,661092E-1	2017-03-02  13:56:00,890850	-1,103274E-1
2017-03-02  13:56:00,890858	-4,661092E-1	2017-03-02  13:56:00,890858	-1,103274E-1
2017-03-02  13:56:00,890866	-4,661092E-1	2017-03-02  13:56:00,890866	-1,103274E-1
2017-03-02  13:56:00,890874	-4,661092E-1	2017-03-02  13:56:00,890874	-1,103274E-1
2017-03-02  13:56:00,890882	-4,661092E-1	2017-03-02  13:56:00,890882	-1,103274E-1
2017-03-02  13:56:00,890890	-4,661092E-1	2017-03-02  13:56:00,890890	-1,103274E-1
2017-03-02  13:56:00,890898	-4,661092E-1	2017-03-02  13:56:00,890898	-1,103274E-1
2017-03-02  13:56:00,890906	-4,661092E-1	2017-03-02  13:56:00,890906	-1,103274E-1
2017-03-02  13:56:00,890914	-5,086557E-1	2017-03-02  13:56:00,890914	-6,836725E-2
2017-03-02  13:56:00,890922	-4,661092E-1	2017-03-02  13:56:00,890922	-6,836725E-2
2017-03-02  13:56:00,890930	-4,661092E-1	2017-03-02  13:56:00,890930	-6,836725E-2
