waveform	[0]		[1]	
t0	2017-03-02  14:11:54,260293		2017-03-02  14:11:54,260293	
delta t	2,000000E-5		2,000000E-5	

time[0]	Y[0]	time[1]	Y[1]
2017-03-02  14:11:54,260293	-5,064082E+0	2017-03-02  14:11:54,260293	-3,201284E-1
2017-03-02  14:11:54,260313	-5,064082E+0	2017-03-02  14:11:54,260313	-3,201284E-1
2017-03-02  14:11:54,260333	-5,064082E+0	2017-03-02  14:11:54,260333	-3,620886E-1
2017-03-02  14:11:54,260353	-5,064082E+0	2017-03-02  14:11:54,260353	-3,620886E-1
2017-03-02  14:11:54,260373	-5,064082E+0	2017-03-02  14:11:54,260373	-3,620886E-1
2017-03-02  14:11:54,260393	-5,064082E+0	2017-03-02  14:11:54,260393	-3,620886E-1
2017-03-02  14:11:54,260413	-5,064082E+0	2017-03-02  14:11:54,260413	-4,460089E-1
2017-03-02  14:11:54,260433	-5,064082E+0	2017-03-02  14:11:54,260433	-4,040487E-1
2017-03-02  14:11:54,260453	-5,064082E+0	2017-03-02  14:11:54,260453	-4,460089E-1
2017-03-02  14:11:54,260473	-5,064082E+0	2017-03-02  14:11:54,260473	-4,460089E-1
2017-03-02  14:11:54,260493	-5,064082E+0	2017-03-02  14:11:54,260493	-4,460089E-1
2017-03-02  14:11:54,260513	-5,064082E+0	2017-03-02  14:11:54,260513	-4,460089E-1
2017-03-02  14:11:54,260533	-5,064082E+0	2017-03-02  14:11:54,260533	-4,460089E-1
2017-03-02  14:11:54,260553	-5,064082E+0	2017-03-02  14:11:54,260553	-4,460089E-1
2017-03-02  14:11:54,260573	-5,064082E+0	2017-03-02  14:11:54,260573	-4,460089E-1
2017-03-02  14:11:54,260593	-5,064082E+0	2017-03-02  14:11:54,260593	-4,460089E-1
2017-03-02  14:11:54,260613	-5,064082E+0	2017-03-02  14:11:54,260613	-4,879691E-1
2017-03-02  14:11:54,260633	-5,064082E+0	2017-03-02  14:11:54,260633	-4,879691E-1
2017-03-02  14:11:54,260653	-5,064082E+0	2017-03-02  14:11:54,260653	-4,460089E-1
2017-03-02  14:11:54,260673	-5,064082E+0	2017-03-02  14:11:54,260673	-4,460089E-1
2017-03-02  14:11:54,260693	-5,064082E+0	2017-03-02  14:11:54,260693	-4,460089E-1
2017-03-02  14:11:54,260713	-5,064082E+0	2017-03-02  14:11:54,260713	-4,460089E-1
2017-03-02  14:11:54,260733	-5,064082E+0	2017-03-02  14:11:54,260733	-4,460089E-1
2017-03-02  14:11:54,260753	-5,064082E+0	2017-03-02  14:11:54,260753	-4,879691E-1
2017-03-02  14:11:54,260773	-5,064082E+0	2017-03-02  14:11:54,260773	-4,879691E-1
2017-03-02  14:11:54,260793	-5,064082E+0	2017-03-02  14:11:54,260793	-4,460089E-1
2017-03-02  14:11:54,260813	-5,064082E+0	2017-03-02  14:11:54,260813	-4,460089E-1
2017-03-02  14:11:54,260833	-5,064082E+0	2017-03-02  14:11:54,260833	-4,460089E-1
2017-03-02  14:11:54,260853	-5,064082E+0	2017-03-02  14:11:54,260853	-4,460089E-1
2017-03-02  14:11:54,260873	-5,064082E+0	2017-03-02  14:11:54,260873	-4,879691E-1
2017-03-02  14:11:54,260893	-5,064082E+0	2017-03-02  14:11:54,260893	-4,460089E-1
2017-03-02  14:11:54,260913	-5,064082E+0	2017-03-02  14:11:54,260913	-4,879691E-1
2017-03-02  14:11:54,260933	-5,064082E+0	2017-03-02  14:11:54,260933	-4,879691E-1
2017-03-02  14:11:54,260953	-5,064082E+0	2017-03-02  14:11:54,260953	-4,460089E-1
2017-03-02  14:11:54,260973	-5,064082E+0	2017-03-02  14:11:54,260973	-4,879691E-1
2017-03-02  14:11:54,260993	-5,064082E+0	2017-03-02  14:11:54,260993	-4,879691E-1
2017-03-02  14:11:54,261013	-5,064082E+0	2017-03-02  14:11:54,261013	-4,460089E-1
2017-03-02  14:11:54,261033	-5,064082E+0	2017-03-02  14:11:54,261033	-4,879691E-1
2017-03-02  14:11:54,261053	-5,064082E+0	2017-03-02  14:11:54,261053	-4,879691E-1
2017-03-02  14:11:54,261073	-5,064082E+0	2017-03-02  14:11:54,261073	-4,460089E-1
2017-03-02  14:11:54,261093	-5,064082E+0	2017-03-02  14:11:54,261093	-4,879691E-1
2017-03-02  14:11:54,261113	-5,064082E+0	2017-03-02  14:11:54,261113	-4,879691E-1
2017-03-02  14:11:54,261133	-5,064082E+0	2017-03-02  14:11:54,261133	-4,460089E-1
2017-03-02  14:11:54,261153	-5,064082E+0	2017-03-02  14:11:54,261153	-4,879691E-1
2017-03-02  14:11:54,261173	-5,064082E+0	2017-03-02  14:11:54,261173	-4,879691E-1
2017-03-02  14:11:54,261193	-5,064082E+0	2017-03-02  14:11:54,261193	-4,879691E-1
2017-03-02  14:11:54,261213	-5,064082E+0	2017-03-02  14:11:54,261213	-4,879691E-1
2017-03-02  14:11:54,261233	-4,897180E+0	2017-03-02  14:11:54,261233	-4,879691E-1
2017-03-02  14:11:54,261253	-5,064082E+0	2017-03-02  14:11:54,261253	-4,879691E-1
2017-03-02  14:11:54,261273	-5,064082E+0	2017-03-02  14:11:54,261273	-4,879691E-1
2017-03-02  14:11:54,261293	-5,064082E+0	2017-03-02  14:11:54,261293	-4,460089E-1
2017-03-02  14:11:54,261313	-5,064082E+0	2017-03-02  14:11:54,261313	-4,460089E-1
2017-03-02  14:11:54,261333	-5,064082E+0	2017-03-02  14:11:54,261333	-4,879691E-1
2017-03-02  14:11:54,261353	-5,064082E+0	2017-03-02  14:11:54,261353	-4,879691E-1
2017-03-02  14:11:54,261373	-5,064082E+0	2017-03-02  14:11:54,261373	-4,879691E-1
