2017-03-02	14:01
Amplitude: 2,00 V
Freq  (Hz) 	 Gain (dB)  	 Phase (deg)
 10,058             -0,232             -0,605
 15,832             -0,237             -0,812
 25,146             -0,234             -1,288
 39,861             -0,241             -2,002
 63,144             -0,254             -3,372
100,024             -0,273             -5,323
158,511             -0,327             -8,261
251,271             -0,456            -12,988
398,047             -0,772            -20,027
630,878             -1,490            -29,789
1000,054             -2,874            -42,085
1584,925             -5,138            -55,001
2511,963             -8,236            -65,769
3981,031            -11,751            -73,910
6309,524            -15,532            -79,276
9999,983            -19,415            -82,213
15848,875            -23,360            -85,138
25118,887            -27,304            -86,230
39810,687            -31,252            -86,679
63095,801            -35,499            -86,335
100000,016            -39,077            -83,681
