2017-03-02	14:18
Amplitude: 2,00 V
Freq  (Hz) 	 Gain (dB)  	 Phase (deg)
 10,058            -20,191             -0,051
 15,832            -20,184             -0,094
 25,146            -20,188             -0,076
 39,861            -20,186              0,065
 63,144            -20,187              0,048
100,024            -20,192             -0,143
158,511            -20,191             -0,112
251,271            -20,198             -0,438
398,047            -20,211             -0,637
630,878            -20,242             -0,767
1000,054            -20,289             -0,805
1584,925            -20,344             -0,970
2511,963            -20,390             -0,731
3981,031            -20,424             -0,643
6309,524            -20,440             -0,427
9999,983            -20,459             -0,527
15848,875            -20,476             -0,727
25118,887            -20,504             -0,688
39810,687            -20,536             -0,437
63095,801            -20,583             -0,569
100000,016            -20,635             -0,185
