waveform	[0]		[1]	
t0	2017-03-02  14:19:39,075879		2017-03-02  14:19:39,075879	
delta t	2,000000E-5		2,000000E-5	

time[0]	Y[0]	time[1]	Y[1]
2017-03-02  14:19:39,075879	-4,661092E-1	2017-03-02  14:19:39,075879	-4,863716E-2
2017-03-02  14:19:39,075899	-4,661092E-1	2017-03-02  14:19:39,075899	-4,445516E-2
2017-03-02  14:19:39,075919	-4,661092E-1	2017-03-02  14:19:39,075919	-4,863716E-2
2017-03-02  14:19:39,075939	-4,661092E-1	2017-03-02  14:19:39,075939	-4,863716E-2
2017-03-02  14:19:39,075959	-4,661092E-1	2017-03-02  14:19:39,075959	-4,445516E-2
2017-03-02  14:19:39,075979	-4,661092E-1	2017-03-02  14:19:39,075979	-4,863716E-2
2017-03-02  14:19:39,075999	-4,661092E-1	2017-03-02  14:19:39,075999	-4,863716E-2
2017-03-02  14:19:39,076019	-4,661092E-1	2017-03-02  14:19:39,076019	-4,445516E-2
2017-03-02  14:19:39,076039	-4,661092E-1	2017-03-02  14:19:39,076039	-4,863716E-2
2017-03-02  14:19:39,076059	-4,661092E-1	2017-03-02  14:19:39,076059	-4,445516E-2
2017-03-02  14:19:39,076079	-4,661092E-1	2017-03-02  14:19:39,076079	-4,863716E-2
2017-03-02  14:19:39,076099	-4,661092E-1	2017-03-02  14:19:39,076099	-4,445516E-2
2017-03-02  14:19:39,076119	-4,661092E-1	2017-03-02  14:19:39,076119	-4,445516E-2
2017-03-02  14:19:39,076139	-4,661092E-1	2017-03-02  14:19:39,076139	-4,445516E-2
2017-03-02  14:19:39,076159	-4,661092E-1	2017-03-02  14:19:39,076159	-4,445516E-2
2017-03-02  14:19:39,076179	-4,661092E-1	2017-03-02  14:19:39,076179	-4,445516E-2
2017-03-02  14:19:39,076199	-4,661092E-1	2017-03-02  14:19:39,076199	-4,863716E-2
2017-03-02  14:19:39,076219	-4,661092E-1	2017-03-02  14:19:39,076219	-4,445516E-2
2017-03-02  14:19:39,076239	-4,661092E-1	2017-03-02  14:19:39,076239	-4,863716E-2
2017-03-02  14:19:39,076259	-4,661092E-1	2017-03-02  14:19:39,076259	-4,445516E-2
2017-03-02  14:19:39,076279	-4,661092E-1	2017-03-02  14:19:39,076279	-4,863716E-2
2017-03-02  14:19:39,076299	-5,086557E-1	2017-03-02  14:19:39,076299	-4,863716E-2
2017-03-02  14:19:39,076319	-4,661092E-1	2017-03-02  14:19:39,076319	-4,863716E-2
2017-03-02  14:19:39,076339	-4,661092E-1	2017-03-02  14:19:39,076339	-4,863716E-2
2017-03-02  14:19:39,076359	-4,661092E-1	2017-03-02  14:19:39,076359	-4,445516E-2
2017-03-02  14:19:39,076379	-4,661092E-1	2017-03-02  14:19:39,076379	-4,445516E-2
2017-03-02  14:19:39,076399	-4,661092E-1	2017-03-02  14:19:39,076399	-4,445516E-2
2017-03-02  14:19:39,076419	-4,661092E-1	2017-03-02  14:19:39,076419	-4,863716E-2
